UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,LATITUDE,LONGITUDE,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),18-20 (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),ABOVE 90 (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2022)
P.028,Kelantan,P.028,Pasir Puteh,5.8346168,102.3829644,113070,98.04,0.89,0.04,0,0.05,0.04,0.94,99.76,0.01,0.23,0,7.22,23.88,24.06,16.71,13.27,8.94,4.42,1.24,0.26,48.6,51.4,SEMI URBAN
P.029,Kelantan,P.029,Machang,5.7641131,102.214217,88825,96.34,3.09,0.16,0,0.05,0.06,0.29,99.69,0.01,0.29,0.01,6.57,23.05,24.21,16.85,13.64,9.68,4.44,1.29,0.27,49.3,50.7,SEMI URBAN
P.030,Kelantan,P.030,Jeli,5.6955226,101.8449367,59798,97.72,0.18,0.12,0.79,0.36,0.26,0.58,96.83,0,0.48,2.69,6.63,23.65,24.35,17.63,13.33,8.84,4.01,1.18,0.38,50.5,49.5,RURAL
P.031,Kelantan,P.031,Kuala Krai,5.5311582,102.1993666,92335,94.12,4.11,1.12,0.01,0.06,0.05,0.54,99.7,0,0.3,0,7.07,23.98,25.1,17.16,12.42,8.85,3.97,1.21,0.24,50.13,49.87,RURAL
P.032,Kelantan,P.032,Gua Musang,4.8792724,101.9652332,70254,78.55,5.81,0.47,14.5,0.1,0.08,0.5,99.63,0.01,0.37,0,8.25,27.04,26.94,15.24,9.89,8.31,3.56,0.65,0.13,50.87,49.13,RURAL
P.033,Terengganu,P.033,Besut,5.5833333,102.5,111650,97.97,1.3,0.09,0.02,0.09,0.07,0.45,98.42,0.01,0.34,1.23,7.44,25.1,25.7,16.9,12.15,8.01,3.61,0.92,0.17,49.85,50.15,SEMI URBAN
P.034,Terengganu,P.034,Setiu,5.5500806,102.7355111,107294,99.23,0.28,0.04,0.01,0.09,0.06,0.3,99.7,0,0.27,0.02,7.04,24.61,26.14,17.64,12.05,7.77,3.55,1,0.18,49.6,50.4,RURAL
P.035,Terengganu,P.035,Kuala Nerus,5.3333333,103,105952,98.38,1.05,0.09,0,0.1,0.06,0.32,98.48,0.01,0.72,0.79,7.33,25.17,26.44,16.74,11.96,7.98,3.32,0.93,0.12,50.03,49.97,URBAN
P.036,Terengganu,P.036,Kuala Terengganu,5.3296461,103.1383265,123305,90.23,8.65,0.55,0,0.08,0.07,0.42,98.84,0.02,1.11,0.03,5.56,20.57,25.1,17.69,13.85,10.65,4.86,1.46,0.26,49.72,50.28,URBAN
P.037,Terengganu,P.037,Marang,5.1666667,103.1666667,131756,97.53,1.87,0.08,0,0.06,0.06,0.39,99.43,0.01,0.43,0.13,7.26,24.5,26.03,16.62,12.5,8.37,3.5,1.07,0.14,49.74,50.26,SEMI URBAN
P.038,Terengganu,P.038,Hulu Terengganu,4.910689,102.7650701,87917,98.82,0.43,0.04,0.31,0.06,0.05,0.29,99.73,0,0.26,0,6.22,22.45,27.05,17.57,12.1,8.96,4.11,1.31,0.24,49.59,50.41,RURAL
P.039,Terengganu,P.039,Dungun,4.7643972,103.4184463,115559,95.71,3.16,0.19,0.01,0.13,0.09,0.72,99.47,0.01,0.48,0.03,7.53,24.49,25.62,17.24,12.59,8.29,3.28,0.79,0.16,50.05,49.95,SEMI URBAN
P.040,Terengganu,P.040,Kemaman,4.239674,103.1914299,139423,93.17,5.06,0.53,0.23,0.11,0.16,0.74,99.71,0.01,0.27,0.01,7.81,24.02,25.15,17.42,12.6,8.65,3.39,0.79,0.17,50.57,49.43,SEMI URBAN
P.041,Pulau Pinang,P.041,Kepala Batas,5.5143846,100.4362369,83081,79.9,15.5,4.17,0,0.09,0.07,0.26,99.17,0,0.83,0,7.5,23.32,20.5,17.43,14.92,9.63,5,1.49,0.2,49.38,50.62,SEMI URBAN
P.042,Pulau Pinang,P.042,Tasek Gelugor,5.4821102,100.4980002,80868,77.93,15.08,6.35,0,0.16,0.15,0.31,96.77,0.01,0.15,3.07,6.54,22.31,22.6,17.64,14.27,9.9,5.07,1.48,0.21,49.41,50.59,SEMI URBAN
P.043,Pulau Pinang,P.043,Bagan,5.4067343,100.3696461,89447,14.51,69.32,15.63,0,0.13,0.05,0.36,99.8,0,0.2,0,4.81,16.31,18.3,18.22,17.48,14.43,7.7,2.24,0.51,49.32,50.68,URBAN
P.044,Pulau Pinang,P.044,Permatang Pauh,5.410228,100.413226,107186,73.12,19.46,6.6,0.01,0.17,0.09,0.55,99.28,0.01,0.71,0,6.29,20.86,21.19,17.59,15.74,11.57,5.23,1.32,0.21,49.16,50.84,URBAN
P.045,Pulau Pinang,P.045,Bukit Mertajam,5.3642519,100.4609867,120819,21.16,67.38,10.87,0,0.12,0.05,0.41,99.96,0.01,0.03,0,5.93,20.07,19.99,17.61,15.32,12.28,6.52,1.96,0.31,48.93,51.07,URBAN
P.046,Pulau Pinang,P.046,Batu Kawan,5.2625962,100.4304555,88812,22.82,54.05,22.27,0,0.2,0.07,0.58,99.78,0,0.22,0,6.37,20.33,20.02,17.89,16,11.56,5.76,1.72,0.34,49.03,50.97,URBAN
P.047,Pulau Pinang,P.047,Nibong Tebal,5.1700963,100.4785191,100062,46.75,34.72,17.86,0.01,0.13,0.07,0.47,99.45,0.01,0.54,0,6.98,22.65,20.89,17.92,15.14,9.84,4.96,1.38,0.24,48.66,51.34,SEMI URBAN
P.048,Pulau Pinang,P.048,Bukit Bendera,5.4245765,100.2689827,92521,15.07,71.12,12.04,0.01,0.22,0.15,1.39,98.84,0.02,0.6,0.54,3.6,13.55,16,16.53,17.94,16.1,10.78,4.5,1.01,47.25,52.75,URBAN
P.049,Pulau Pinang,P.049,Tanjong,5.4647757,100.284463,52803,6.28,81.75,11.24,0,0.12,0.09,0.51,98.29,0,1.62,0.09,1.94,8.53,12.45,14.66,19.43,22.25,13.27,4.78,2.69,50.56,49.44,URBAN
P.050,Pulau Pinang,P.050,Jelutong,5.3873462,100.3145585,93989,21.02,63.2,14.88,0,0.16,0.09,0.64,99.01,0.01,0.99,0,4.16,15.25,18.55,17.65,16.93,15.49,8.54,2.8,0.63,48.05,51.95,URBAN
P.051,Pulau Pinang,P.051,Bukit Gelugor,5.3794182,100.3047639,117134,14.64,71.69,12.83,0,0.12,0.09,0.63,99.85,0.02,0.07,0.06,4.76,16.99,19.19,18.58,16.38,13.12,7.75,2.72,0.5,47.78,52.22,URBAN
P.052,Pulau Pinang,P.052,Bayan Baru,5.3248811,100.285231,119640,38.77,47.85,12.18,0,0.3,0.19,0.71,98.11,0.03,0.27,1.6,5.49,19.02,21.45,18.3,15.4,12.45,6.01,1.63,0.24,48.57,51.43,URBAN
P.053,Pulau Pinang,P.053,Balik Pulau,5.3506953,100.2348979,80264,65.23,29.05,4.83,0.01,0.24,0.14,0.5,99.01,0.01,0.98,0,6.62,21.86,20.65,17.1,15.86,11.07,5.01,1.57,0.27,49.85,50.15,SEMI URBAN
P.054,Perak,P.054,Gerik,5.4306632,101.1296386,47565,66.84,13.51,3.03,12.05,0.63,0.74,3.2,94.09,0.01,2.32,3.58,6.95,24.77,24.73,16.06,12.35,9.4,4.02,1.44,0.28,52.49,47.51,RURAL
P.055,Perak,P.055,Lenggong,5.1094869,100.9678905,36950,83.21,11.8,1.38,3.12,0.12,0.06,0.31,99.86,0,0.14,0,5.38,19.47,24.95,17.28,13.18,11.25,5.98,2.07,0.43,49.51,50.49,RURAL
P.056,Perak,P.056,Larut,4.853766,100.7436053,65719,89.94,3.92,5.62,0.01,0.09,0.05,0.38,99.65,0.01,0.34,0,5.95,21.62,22.92,17.35,13.6,10.58,5.63,1.98,0.36,49.12,50.88,RURAL
P.057,Perak,P.057,Parit Buntar,5.1300016,100.4893897,68502,68.43,25.88,5.1,0,0.07,0.04,0.48,99.85,0.01,0.14,0,5.55,19.49,20.81,18.59,16.25,11.07,6.01,1.81,0.41,50.05,49.95,SEMI URBAN
P.058,Perak,P.058,Bagan Serai,5.0284508,100.5273516,80293,78.25,12.36,9.01,0.01,0.06,0.05,0.26,99.59,0,0.41,0,6.29,21.26,21.85,17.71,15.13,10.12,5.48,1.76,0.4,49.71,50.29,SEMI URBAN
P.059,Perak,P.059,Bukit Gantang,4.7833333,100.76667,94253,71.25,19.14,9.04,0.01,0.1,0.08,0.38,99.91,0.01,0.08,0,5.71,21.22,23.35,17.11,13.98,11.41,5.32,1.58,0.32,49.41,50.59,SEMI URBAN
P.060,Perak,P.060,Taiping,4.8546772,100.7438831,121566,39.67,44.38,14.45,0.03,0.29,0.54,0.64,96.3,0.01,0.4,3.28,4.72,18.95,22.3,16.12,13.67,13.32,7.59,2.73,0.59,49.11,50.89,URBAN
