UNIQUE_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_CODE,PARLIAMENTARY_NAME,LATITUDE,LONGITUDE,TOTAL_ELECTORS,Malay,Chinese,Indian,Orang Asli,Bumiputera Sabah,Bumiputera Sarawak,Others
P.001,Perlis,P.001,Padang Besar,6.65906,100.319229,60192,86.01,8.14,0.88,0.01,0.33,0.57,4.06
P.002,Perlis,P.002,Kangar,6.43994,100.192909,74859,81.58,14.73,1.57,0,0.13,0.08,1.9
P.003,Perlis,P.003,Arau,6.429708,100.269844,60876,87.23,7.81,1.59,0.01,0.12,0.09,3.15
P.004,Kedah,P.004,Langkawi,6.35,99.800003,66777,89.65,6.75,2.38,0,0.3,0.17,0.75
P.005,Kedah,P.005,Jerlun,6.24003,100.256821,67601,90.75,6.78,0.11,0,0.05,0.04,2.27
P.006,Kedah,P.006,Kubang Pasu,6.3356376,100.3723218,108217,85.99,8.72,3.38,0.01,0.18,0.17,1.54
P.007,Kedah,P.007,Padang Terap,6.2566513,100.6645805,59806,91.66,1.3,0.14,0,0.06,0.04,6.81
P.008,Kedah,P.008,Pokok Sena,6.1730525,100.5203915,114838,81.32,15.24,2.48,0.01,0.08,0.09,0.79
P.009,Kedah,P.009,Alor Setar,6.1231908,100.3683962,105994,63.18,31.76,4.26,0.01,0.08,0.06,0.65
P.010,Kedah,P.010,Kuala Kedah,6.1072177,100.2934899,132500,75.96,22.25,1.18,0,0.04,0.05,0.52
P.011,Kedah,P.011,Pendang,5.9720841,100.5501852,94547,88.47,4.75,0.5,0,0.04,0.03,6.21
P.012,Kedah,P.012,Jerai,5.787128,100.4347358,105001,80.43,13.03,6.01,0.01,0.06,0.05,0.42
P.013,Kedah,P.013,Sik,5.9239011,100.8231021,63126,92.5,1.46,0.14,0.01,0.08,0.04,5.76
P.014,Kedah,P.014,Merbok,5.7226681,100.4136266,132444,69.06,15.3,14.41,0.01,0.2,0.31,0.7
P.015,Kedah,P.015,Sungai Petani,5.6435195,100.4869513,168847,60.99,25.75,12.45,0.01,0.09,0.07,0.66
P.016,Kedah,P.016,Baling,5.5507199,100.797587,132099,89.24,4.27,4.63,0.14,0.08,0.05,1.58
P.017,Kedah,P.017,Padang Serai,5.5126654,100.554626,133867,62.18,17.75,19.36,0,0.08,0.08,0.55
P.018,Kedah,P.018,Kulim-Bandar Baharu,5.2099939,100.6118843,90141,69.73,17.19,12.53,0,0.12,0.08,0.35
P.019,Kelantan,P.019,Tumpat,6.2002519,102.1706651,149371,92.28,3.64,0.14,0.01,0.04,0.03,3.86
P.020,Kelantan,P.020,Pengkalan Chepa,6.172658,102.293098,106982,96.96,1.85,0.12,0.01,0.1,0.07,0.9
