UNIQUE_CODE,STATE,PARLIAMENTARY_CONSTITUENCY_CODE,PARLIAMENTARY_NAME,LATITUDE,LONGITUDE,TOTAL_ELECTORS,Malay,Chinese,Indian,Orang Asli,Bumiputera Sabah,Bumiputera Sarawak,Others
P.119,Wilayah Persekutuan Kuala Lumpur,P.119,Titiwangsa,3.1734326,101.6952622,61598,70.49,17.3,9.42,0.01,0.5,0.37,1.91
P.120,Wilayah Persekutuan Kuala Lumpur,P.120,Bukit Bintang,3.1460953,101.7114762,69526,12.53,75.12,10.95,0.02,0.37,0.28,0.73
P.121,Wilayah Persekutuan Kuala Lumpur,P.121,Lembah Pantai,3.101597,101.6688966,80346,62.12,18.91,16.24,0.02,0.68,0.48,1.55
P.122,Wilayah Persekutuan Kuala Lumpur,P.122,Seputeh,3.1136874,101.68142,86256,9.04,82.03,7.87,0,0.23,0.08,0.75
P.123,Wilayah Persekutuan Kuala Lumpur,P.123,Cheras,3.0991919,101.7374229,78819,9.68,82.93,6.73,0.01,0.22,0.06,0.37
P.124,Wilayah Persekutuan Kuala Lumpur,P.124,Bandar Tun Razak,3.089635,101.7124347,83650,61.08,29.1,8.27,0.01,0.42,0.53,0.59
P.125,Wilayah Persekutuan Putrajaya,P.125,Putrajaya,2.9384381,101.69223,27306,94.17,0.89,3.18,0.04,0.85,0.42,0.45
P.126,Negeri Sembilan,P.126,Jelebu,3.0366264,102.1179206,48522,65.01,24.13,5.69,4.58,0.25,0.15,0.19
P.127,Negeri Sembilan,P.127,Jempol,2.8502724,102.5081957,72122,63.35,23.24,12.31,0.77,0.06,0.05,0.22
P.128,Negeri Sembilan,P.128,Seremban,2.723099,101.9400601,110168,48.39,36.75,13.25,0.7,0.19,0.13,0.59
P.129,Negeri Sembilan,P.129,Kuala Pilah,2.7430758,102.2154881,49801,77.01,15.84,4.86,1.89,0.07,0.1,0.23
P.130,Negeri Sembilan,P.130,Rasah,2.7188285,101.9404831,102838,29.65,47.79,20.95,0.41,0.18,0.21,0.81
P.131,Negeri Sembilan,P.131,Rembau,2.5578923,102.1081637,88365,73.32,10.31,15.4,0.39,0.12,0.13,0.33
